timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-01-01T13:34:29Z,TSLA,buy,2.9176,220.0,217.8158,-9.63,9990.37
2025-01-01T13:38:09Z,AAPL,buy,3.4945,180.0,181.0843,0.59,9990.96
2025-01-01T23:25:37Z,ETH-USD,sell,0.152663,2400.0,2427.13,-6.0,9984.96
2025-01-01T23:31:06Z,AAPL,sell,2.8768,181.0843,182.9966,-8.15,9976.81
2025-01-02T06:33:28Z,MSFT,buy,1.4521,410.0,405.4812,-9.59,9967.22
2025-01-02T06:46:04Z,BTC-USD,buy,0.013336,45000.0,44856.8,-4.96,9962.27
2025-01-02T06:53:16Z,GBPUSD,buy,479.1054,1.27,1.268562,-3.78,9958.49
2025-01-02T06:56:50Z,GBPUSD,sell,257.1541,1.268562,1.259817,0.59,9959.08
2025-01-02T08:43:57Z,ETH-USD,sell,0.171186,2427.13,2416.64,-0.31,9958.76
2025-01-02T17:16:41Z,NVDA,sell,0.854685,650.0,646.363,0.29,9959.05
2025-01-02T23:36:04Z,MSFT,sell,1.6239,405.4812,406.9152,-5.67,9953.37
2025-01-02T23:53:24Z,GBPUSD,buy,398.6739,1.259817,1.245521,-8.25,9945.12
2025-01-02T23:56:15Z,GBPUSD,buy,446.6382,1.245521,1.252704,0.38,9945.51
2025-01-03T00:00:14Z,MSFT,buy,1.5621,406.9152,400.5647,-13.15,9932.36
2025-01-03T01:38:13Z,MSFT,buy,0.890257,400.5647,400.5845,-1.79,9930.56
2025-01-03T01:43:15Z,MSFT,sell,1.1474,400.5845,401.5967,-3.5,9927.07
2025-01-03T01:46:56Z,AAPL,buy,1.3043,182.9966,183.9192,-0.01,9927.06
2025-01-03T01:57:56Z,AAPL,sell,1.8665,183.9192,184.4234,-2.69,9924.37
2025-01-03T02:10:57Z,MSFT,buy,1.0912,401.5967,399.0656,-4.99,9919.38
2025-01-03T02:15:29Z,MSFT,sell,1.7022,399.0656,401.4084,-7.44,9911.95
2025-01-03T02:26:55Z,ETH-USD,sell,0.200489,2416.64,2414.91,-2.11,9909.83
2025-01-03T06:59:08Z,AMZN,sell,3.6023,170.0,168.4581,2.44,9912.27
2025-01-03T07:00:29Z,AAPL,sell,1.2593,184.4234,183.1521,0.42,9912.7
2025-01-03T08:59:19Z,NVDA,buy,0.854254,646.363,641.7082,-6.78,9905.91
2025-01-03T09:08:26Z,ETH-USD,sell,0.312088,2414.91,2401.69,0.3,9906.21
2025-01-03T09:13:31Z,MSFT,buy,1.1722,401.4084,396.6962,-7.91,9898.3
2025-01-03T09:27:33Z,MSFT,buy,1.0523,396.6962,392.1987,-6.85,9891.44
2025-01-03T20:32:39Z,GBPUSD,sell,599.3546,1.252704,1.247827,-0.89,9890.55
2025-01-03T20:37:14Z,BTC-USD,buy,0.013505,44856.8,44600.55,-6.54,9884.02
2025-01-03T21:25:53Z,BTC-USD,buy,0.004479,44600.55,44368.5,-2.05,9881.96
2025-01-03T21:26:31Z,NVDA,buy,1.0791,641.7082,642.5427,-2.62,9879.34
2025-01-04T07:33:31Z,NVDA,sell,0.501308,642.5427,651.4804,-6.12,9873.23
2025-01-04T12:16:14Z,TSLA,buy,3.5616,217.8158,217.3203,-5.71,9867.52
2025-01-04T16:10:07Z,TSLA,buy,1.635,217.3203,219.3144,1.46,9868.98
2025-01-04T18:51:44Z,AMZN,buy,1.9553,168.4581,167.727,-3.1,9865.87
2025-01-04T19:52:38Z,GBPUSD,sell,480.4834,1.247827,1.246434,-2.38,9863.5
2025-01-04T20:07:24Z,ETH-USD,sell,0.261662,2401.69,2385.61,1.02,9864.51
2025-01-04T20:18:11Z,GBPUSD,buy,331.2348,1.246434,1.252565,-0.07,9864.45
2025-01-05T00:00:02Z,AMZN,sell,3.5295,167.727,166.0161,3.03,9867.48
2025-01-05T00:11:23Z,AMZN,sell,3.1428,166.0161,166.8096,-5.14,9862.33
2025-01-05T06:48:23Z,EURUSD,buy,458.4668,1.09,1.081408,-6.48,9855.86
2025-01-05T10:10:24Z,MSFT,buy,1.517,392.1987,392.8383,-2.05,9853.8
2025-01-05T15:38:23Z,ETH-USD,buy,0.260639,2385.61,2391.59,-1.6,9852.21
2025-01-06T01:41:13Z,ETH-USD,sell,0.136481,2391.59,2374.26,0.71,9852.91
2025-01-06T01:43:39Z,GBPUSD,sell,605.7154,1.252565,1.238682,4.55,9857.47
2025-01-06T07:31:09Z,NVDA,sell,0.711214,651.4804,643.768,3.13,9860.6
2025-01-06T07:35:07Z,AMZN,buy,2.146,166.8096,167.8859,0.49,9861.09
2025-01-06T10:22:33Z,MSFT,sell,1.1159,392.8383,391.2499,-0.45,9860.64
2025-01-06T15:14:20Z,AAPL,sell,2.6176,183.1521,184.3039,-5.45,9855.19
2025-01-06T15:25:29Z,TSLA,sell,1.4903,219.3144,219.6303,-2.13,9853.06
2025-01-06T15:32:46Z,GBPUSD,buy,591.9376,1.238682,1.235968,-5.33,9847.72
2025-01-06T15:37:02Z,EURUSD,sell,366.5326,1.081408,1.093794,-6.55,9841.17
2025-01-06T15:48:24Z,BTC-USD,buy,0.013088,44368.5,43885.05,-9.28,9831.89
2025-01-06T15:51:07Z,MSFT,buy,1.2038,391.2499,394.917,2.02,9833.92
2025-01-06T23:59:12Z,AMZN,buy,3.2053,167.8859,166.9296,-5.8,9828.12
2025-01-07T04:21:28Z,TSLA,buy,2.7669,219.6303,217.8309,-8.07,9820.05
2025-01-07T04:29:42Z,MSFT,sell,0.516199,394.917,396.6693,-1.94,9818.11
2025-01-07T04:32:25Z,GBPUSD,sell,452.4293,1.235968,1.226986,1.22,9819.33
2025-01-07T04:36:28Z,GBPUSD,sell,583.3879,1.226986,1.235754,-8.75,9810.58
2025-01-07T04:49:19Z,TSLA,sell,3.0567,217.8309,216.2929,1.32,9811.9
2025-01-07T05:11:12Z,ETH-USD,sell,0.220312,2374.26,2387.7,-5.62,9806.28
2025-01-07T05:15:57Z,TSLA,sell,2.7129,216.2929,215.0364,0.43,9806.71
2025-01-07T05:23:02Z,TSLA,buy,2.8857,215.0364,216.6607,1.53,9808.25
2025-01-07T05:34:15Z,GBPUSD,sell,625.6831,1.235754,1.226665,1.76,9810.0
2025-01-07T09:08:26Z,AAPL,buy,2.8318,184.3039,184.0021,-3.51,9806.5
2025-01-07T14:46:47Z,EURUSD,sell,416.255,1.093794,1.110001,-9.06,9797.44
2025-01-07T14:48:21Z,AAPL,buy,1.5416,184.0021,186.3176,2.13,9799.57
2025-01-07T23:26:47Z,TSLA,sell,2.1272,216.6607,219.5113,-8.41,9791.16
2025-01-08T03:03:01Z,MSFT,buy,1.4201,396.6693,398.4757,-0.3,9790.87
2025-01-08T03:13:31Z,AAPL,buy,1.9594,186.3176,185.572,-3.32,9787.55
2025-01-08T06:22:52Z,TSLA,sell,1.1988,219.5113,220.5775,-2.61,9784.94
2025-01-08T07:17:20Z,AMZN,sell,1.6097,166.9296,165.5357,0.88,9785.81
2025-01-08T07:18:24Z,BTC-USD,sell,0.004806,43885.05,44274.97,-2.95,9782.87
2025-01-08T07:30:00Z,BTC-USD,buy,0.014536,44274.97,44129.18,-5.39,9777.48
2025-01-08T07:42:18Z,BTC-USD,sell,0.009057,44129.18,43431.19,4.29,9781.77
2025-01-08T07:56:30Z,BTC-USD,buy,0.010651,43431.19,43711.69,0.64,9782.41
2025-01-08T08:11:20Z,GBPUSD,sell,357.2301,1.226665,1.233342,-4.61,9777.8
2025-01-08T15:18:14Z,GBPUSD,buy,599.8271,1.233342,1.22864,-6.58,9771.22
2025-01-08T15:21:02Z,GBPUSD,sell,203.5344,1.22864,1.220739,0.34,9771.56
2025-01-08T15:31:56Z,AMZN,sell,4.137,165.5357,164.1431,2.28,9773.84
2025-01-08T19:59:38Z,NVDA,buy,0.555288,643.768,639.5264,-4.17,9769.67
2025-01-09T01:49:05Z,AMZN,sell,4.2804,164.1431,165.0684,-7.53,9762.14
2025-01-09T06:12:36Z,AMZN,buy,3.2118,165.0684,165.1541,-2.42,9759.72
2025-01-09T14:12:03Z,NVDA,sell,1.1887,639.5264,635.4612,0.97,9760.69
2025-01-09T14:25:45Z,NVDA,sell,1.1099,635.4612,632.6873,-0.5,9760.19
2025-01-09T17:35:25Z,MSFT,sell,1.7425,398.4757,399.9632,-6.12,9754.07
2025-01-10T02:10:32Z,MSFT,buy,1.4113,399.9632,396.9087,-7.18,9746.89
2025-01-10T03:30:32Z,MSFT,sell,0.736265,396.9087,399.0858,-3.09,9743.8
2025-01-10T03:34:35Z,NVDA,buy,0.469784,632.6873,637.7497,0.87,9744.67
2025-01-10T03:44:20Z,AAPL,sell,3.8897,185.572,185.0982,-1.82,9742.85
2025-01-10T03:54:06Z,AMZN,sell,4.1718,165.1541,166.293,-8.25,9734.6
2025-01-10T04:08:59Z,ETH-USD,sell,0.083521,2387.7,2364.3,0.94,9735.54
2025-01-10T12:34:44Z,ETH-USD,buy,0.232338,2364.3,2381.11,1.11,9736.65
2025-01-10T20:16:06Z,NVDA,buy,1.1329,637.7497,634.086,-7.82,9728.83
