timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2025-01-01T15:58:14Z,AAPL,sell,3.87,180.0,176.3356,11.56,10011.56
2025-01-02T18:44:06Z,AAPL,buy,2.4075,176.3356,172.6036,-10.58,10000.98
2025-01-02T18:53:53Z,AAPL,buy,4.7798,172.6036,171.5191,-8.29,9992.7
2025-01-02T18:55:59Z,AAPL,sell,5.9225,171.5191,173.71,-16.79,9975.9
2025-01-02T19:09:13Z,GBPUSD,sell,1544.8923,1.27,1.246923,28.27,10004.18
2025-01-04T01:15:06Z,BTC-USD,sell,0.01346,45000.0,44668.62,2.18,10006.36
2025-01-04T05:05:44Z,BTC-USD,buy,0.007472,44668.62,45099.11,1.96,10008.32
2025-01-04T16:42:22Z,AMZN,buy,1.3627,170.0,169.4684,-1.6,10006.72
2025-01-05T09:59:47Z,AMZN,sell,7.9124,169.4684,169.4292,-4.73,10001.99
2025-01-05T10:09:38Z,AMZN,buy,6.7485,169.4292,167.255,-18.97,9983.02
2025-01-06T17:03:51Z,AMZN,buy,6.6912,167.255,164.5482,-22.32,9960.7
2025-01-06T17:13:28Z,AMZN,sell,5.5611,164.5482,165.5704,-9.13,9951.58
2025-01-06T17:27:54Z,AMZN,buy,4.1999,165.5704,163.131,-12.86,9938.72
2025-01-07T05:02:47Z,AMZN,buy,3.9768,163.131,164.1803,1.73,9940.45
2025-01-08T14:07:44Z,GBPUSD,sell,428.2731,1.246923,1.218208,10.29,9950.74
2025-01-08T14:15:49Z,AMZN,sell,2.9077,164.1803,159.5584,11.64,9962.39
2025-01-09T19:50:56Z,AMZN,buy,3.3201,159.5584,161.1648,3.34,9965.73
2025-01-10T17:07:44Z,AMZN,buy,3.2009,161.1648,161.5292,-0.77,9964.95
2025-01-10T18:39:10Z,AMZN,buy,9.7655,161.5292,163.0332,8.76,9973.71
2025-01-11T20:39:20Z,EURUSD,buy,716.6408,1.09,1.073434,-14.81,9958.9
2025-01-11T20:48:18Z,EURUSD,sell,564.0213,1.073434,1.089034,-11.08,9947.82
2025-01-11T20:55:04Z,EURUSD,sell,1490.173,1.089034,1.100799,-23.63,9924.19
2025-01-13T07:24:56Z,EURUSD,sell,397.8712,1.100799,1.11096,-5.69,9918.5
2025-01-14T13:02:45Z,EURUSD,sell,1194.6179,1.11096,1.122371,-18.62,9899.88
2025-01-16T00:56:46Z,EURUSD,buy,816.7726,1.122371,1.131777,4.24,9904.11
2025-01-16T08:47:24Z,EURUSD,buy,334.9416,1.131777,1.137639,0.54,9904.65
2025-01-16T08:54:08Z,EURUSD,sell,256.6372,1.137639,1.153613,-5.2,9899.46
2025-01-17T06:25:20Z,EURUSD,sell,933.0412,1.153613,1.166403,-15.98,9883.47
2025-01-18T16:58:13Z,EURUSD,sell,1019.853,1.166403,1.155957,6.18,9889.65
2025-01-18T16:59:20Z,EURUSD,sell,349.3624,1.155957,1.162569,-3.83,9885.83
2025-01-18T17:06:39Z,EURUSD,sell,1016.817,1.162569,1.15374,4.53,9890.36
2025-01-20T00:35:45Z,ETH-USD,sell,0.260705,2400.0,2363.37,7.2,9897.56
2025-01-20T00:38:13Z,GBPUSD,buy,265.2955,1.218208,1.221746,-0.28,9897.28
2025-01-21T12:52:18Z,GBPUSD,buy,395.1116,1.221746,1.227757,0.56,9897.84
2025-01-23T00:55:15Z,GBPUSD,buy,547.918,1.227757,1.225167,-3.95,9893.89
2025-01-23T00:59:10Z,GBPUSD,sell,1001.894,1.225167,1.232749,-12.21,9881.68
2025-01-23T01:49:58Z,GBPUSD,buy,739.5037,1.232749,1.21274,-18.22,9863.46
2025-01-23T17:34:15Z,GBPUSD,buy,1644.2453,1.21274,1.215502,-2.96,9860.5
2025-01-23T17:47:11Z,GBPUSD,sell,430.8527,1.215502,1.223131,-5.26,9855.24
2025-01-23T17:51:57Z,GBPUSD,sell,977.025,1.223131,1.209475,8.85,9864.09
2025-01-23T18:03:12Z,GBPUSD,sell,615.9847,1.209475,1.211558,-4.08,9860.01
2025-01-25T05:16:32Z,GBPUSD,sell,504.2686,1.211558,1.215891,-4.48,9855.53
2025-01-26T16:43:32Z,GBPUSD,sell,422.3598,1.215891,1.196039,6.45,9861.98
2025-01-26T20:24:20Z,MSFT,sell,0.971298,410.0,400.8467,7.39,9869.37
2025-01-26T20:31:45Z,BTC-USD,buy,0.013954,45099.11,44123.51,-15.98,9853.39
2025-01-26T20:32:31Z,BTC-USD,buy,0.02324,44123.51,43461.8,-19.23,9834.16
2025-01-26T20:34:53Z,BTC-USD,buy,0.035683,43461.8,43632.41,0.26,9834.42
2025-01-27T01:17:19Z,BTC-USD,sell,0.009256,43632.41,44252.83,-7.26,9827.15
2025-01-27T05:52:08Z,BTC-USD,buy,0.033607,44252.83,43881.99,-18.05,9809.1
2025-01-27T06:05:24Z,BTC-USD,buy,0.012847,43881.99,44247.98,2.58,9811.68
2025-01-27T06:16:39Z,BTC-USD,buy,0.015771,44247.98,43980.72,-6.84,9804.84
2025-01-27T08:54:49Z,BTC-USD,sell,0.029684,43980.72,43091.54,21.49,9826.33
2025-01-27T22:02:43Z,BTC-USD,buy,0.008592,43091.54,43110.69,-1.23,9825.1
2025-01-27T22:08:41Z,BTC-USD,buy,0.018806,43110.69,42513.2,-14.28,9810.82
2025-01-29T08:48:37Z,EURUSD,buy,518.5312,1.15374,1.144018,-7.29,9803.53
2025-01-29T09:02:15Z,EURUSD,sell,1027.1468,1.144018,1.154802,-15.5,9788.03
2025-01-29T16:25:57Z,EURUSD,buy,1365.5987,1.154802,1.135999,-31.61,9756.42
2025-01-30T18:01:39Z,EURUSD,buy,1830.0614,1.135999,1.144369,7.5,9763.92
2025-01-30T18:02:53Z,EURUSD,buy,366.6676,1.144369,1.156798,2.98,9766.9
2025-01-30T18:05:30Z,AAPL,buy,2.534,173.71,175.6928,3.37,9770.27
2025-01-30T18:17:04Z,AAPL,buy,2.126,175.6928,175.8361,-1.1,9769.17
2025-01-31T14:04:02Z,AAPL,buy,8.5463,175.8361,176.9399,3.78,9772.96
2025-02-01T22:06:06Z,EURUSD,buy,209.3517,1.156798,1.150539,-2.22,9770.73
2025-02-01T22:13:08Z,EURUSD,buy,1559.862,1.150539,1.150434,-6.91,9763.82
2025-02-01T22:26:38Z,EURUSD,buy,451.0208,1.150434,1.130555,-10.92,9752.91
