Date,Open,High,Low,Close,Volume
2025-01-02 16:00:00,53.47,53.99,52.95,53.76,439178
2025-01-03 16:00:00,54,57.61,53.99,57.6,804584
2025-01-06 16:00:00,58.5,59.18,57.34,58.17,886700
2025-01-07 16:00:00,56.78,58,56.54,56.91,481664
2025-01-08 16:00:00,56.92,57.44,55.87,57.04,580746
2025-01-09 16:00:00,57.87,58.17,56.95,56.99,380846
2025-01-10 16:00:00,61.24,67.94,61.24,67.86,2045495
2025-01-13 16:00:00,65.68,67,62.92,64.52,1528893
2025-01-14 16:00:00,64.5,67.25,63.43,66.36,1375922
2025-01-15 16:00:00,67,67.04,65.66,65.87,504308
2025-01-16 16:00:00,66.38,68.99,65.92,68.54,1129877
2025-01-17 16:00:00,68.5,69,67.5,67.86,417918
2025-01-20 16:00:00,67.5,68.51,67,68.5,244960
2025-01-21 16:00:00,68.6,69.68,68.1,69.32,586014
2025-01-22 16:00:00,69.54,69.56,68.46,69.02,351188
2025-01-23 16:00:00,68.99,70.8,68.74,69.82,395037
2025-01-24 16:00:00,69.7,71.84,69.67,71.17,440398
2025-01-27 16:00:00,69.42,73,69.42,71.69,650282
2025-01-28 16:00:00,71.53,73.44,70.99,72.57,536882
2025-01-29 16:00:00,71.95,71.95,69.82,70.72,459561
2025-01-30 16:00:00,70.75,71.08,69.02,70.5,354433
2025-01-31 16:00:00,70.8,70.9,69.57,69.9,452007
2025-02-03 16:00:00,63.64,69.39,63.08,68.21,956763
2025-02-04 16:00:00,68.68,70.17,68.13,69.22,293379
2025-02-05 16:00:00,68.91,69.85,67.88,68.26,317579
2025-02-06 16:00:00,70,71.65,68.85,70.03,521738
2025-02-07 16:00:00,69.96,70.96,69.3,70.4,210604
2025-02-10 16:00:00,69.99,71.92,69.99,71.39,417703
2025-02-11 16:00:00,71.97,73,71.03,72.04,688620
2025-02-12 16:00:00,70.38,70.7,69.2,69.9,983114
2025-02-13 16:00:00,70.32,71.79,69.14,69.61,641631
2025-02-14 16:00:00,69.5,69.71,68.37,68.63,431724
2025-02-18 16:00:00,69.09,71.01,69,70.96,611948
2025-02-19 16:00:00,70,71,68.82,70.7,441727
2025-02-20 16:00:00,70.85,71.03,67.88,68.13,555344
2025-02-21 16:00:00,68.15,68.45,66.28,66.41,877130
2025-02-24 16:00:00,66.27,67.44,65.8,66.91,551846
2025-02-25 16:00:00,67.18,67.18,65.28,66.03,346002
2025-02-26 16:00:00,66.64,68.62,65.87,67.08,447290
2025-02-27 16:00:00,66.91,67.31,65.77,65.79,225498
2025-02-28 16:00:00,65.72,66.7,65.05,66.64,675373
2025-03-03 16:00:00,66.5,67.94,66.06,67.47,880601
2025-03-04 16:00:00,66.81,68.21,62.56,63.35,1066834
2025-03-05 16:00:00,63.61,66.39,63.61,66.29,552071
2025-03-06 16:00:00,65.32,65.6,62.7,62.75,365920
2025-03-07 16:00:00,62.75,63,57.78,58.2,1151564
2025-03-10 16:00:00,55.96,55.96,51.06,53.61,1926987
2025-03-11 16:00:00,53.47,53.78,50.61,52.5,1266514
2025-03-12 16:00:00,54.72,56,52.45,52.92,814116
2025-03-13 16:00:00,53,53.52,50.61,52.23,1612251
2025-03-14 16:00:00,53.92,54.07,52.37,52.4,693379
2025-03-17 16:00:00,52.12,53.2,51.17,51.81,1249588
2025-03-18 16:00:00,51.72,53.16,51.71,52.46,621688
2025-03-19 16:00:00,52.55,53.75,51.68,53.53,605225
2025-03-20 16:00:00,53.29,54.09,51.72,51.73,500951
2025-03-21 16:00:00,51.25,52.29,50.31,51.86,998035
2025-03-24 16:00:00,52.68,55.21,51.84,54.69,730678
2025-03-25 16:00:00,54.66,55.52,52.45,53.22,658998
2025-03-26 16:00:00,53.42,53.87,52.04,52.5,268166
2025-03-27 16:00:00,52.53,53.39,51.54,53.07,383028
2025-03-28 16:00:00,52.42,52.56,49.68,50.83,607694
2025-03-31 16:00:00,49.78,51.05,48.75,50.58,635310
2025-04-01 16:00:00,50.64,51.74,48.75,50.22,595436
2025-04-02 16:00:00,49.64,52.28,49,52.15,679336
2025-04-03 16:00:00,46.5,46.5,39.82,41.5,3279307
2025-04-04 16:00:00,39.52,44.45,36.51,42.19,2271577
2025-04-07 16:00:00,40.31,42.25,39.3,41.5,994845
2025-04-08 16:00:00,42.09,42.62,38.05,38.58,776311
2025-04-09 16:00:00,38.11,46.47,38.1,45.77,1555061
2025-04-10 16:00:00,44.3,44.85,40.37,41.07,1063213
2025-04-11 16:00:00,40.98,42.17,39.92,41.91,648945
2025-04-14 16:00:00,43.22,44.05,41.15,42.73,559881
2025-04-15 16:00:00,42.67,44.49,41.6,42.35,803223
2025-04-16 16:00:00,42.24,42.87,41,41.8,617883
2025-04-17 16:00:00,41.75,42.28,40.9,42.08,853961
2025-04-21 16:00:00,41.78,42.78,40.75,42.71,850328
2025-04-22 16:00:00,43.78,44.72,42.84,44.07,468031
2025-04-23 16:00:00,46,50,45.82,45.94,935728
2025-04-24 16:00:00,45.69,48.19,45.68,47.35,665683
2025-04-25 16:00:00,47.09,48.01,46.99,47.39,466553
2025-04-28 16:00:00,47,48.61,45.84,47.69,449962
2025-04-29 16:00:00,47.69,49,47.69,48.66,474485
2025-04-30 16:00:00,47.67,48.76,46.67,48.49,698039
2025-05-01 16:00:00,48.91,49.7,47.47,49.6,675002
2025-05-02 16:00:00,56.1,57.66,53.05,56.42,1725295
2025-05-05 16:00:00,55.92,56.95,55.33,55.87,797894
2025-05-06 16:00:00,54.87,56.6,54.87,56.36,639834
2025-05-07 16:00:00,56.35,58.04,56.35,56.75,714671
2025-05-08 16:00:00,57.05,59.91,57.05,59.39,754285
2025-05-09 16:00:00,59.67,59.82,57.98,59.03,537649
2025-05-12 16:00:00,61,65,60.57,64.61,977458
2025-05-13 16:00:00,64.76,67.33,64.55,66.9,645174
2025-05-14 16:00:00,66.86,68.61,65.65,66.42,677195
2025-05-15 16:00:00,65.69,67.31,65.69,66.29,622434
2025-05-16 16:00:00,65.97,67.13,65.9,66.25,724253
2025-05-20 16:00:00,66.21,66.86,65.15,65.51,432250
2025-05-21 16:00:00,64.61,65.54,63.07,63.44,692686
2025-05-22 16:00:00,63.14,63.92,62.14,63.49,624953
2025-05-23 16:00:00,62.08,64.55,62.08,64,530935
2025-05-26 16:00:00,64.5,67.17,64.34,67,241554
2025-05-27 16:00:00,66.37,68.45,66.21,66.48,590106
2025-05-28 16:00:00,67,68.33,66.9,67.8,454597
2025-05-29 16:00:00,68.13,68.37,66.51,66.96,378738
2025-05-30 16:00:00,66.55,67.04,65.55,66.6,407557
2025-06-02 16:00:00,65.69,67.15,65.48,66.66,604020
2025-06-03 16:00:00,66.66,68.8,66.24,68.11,363976
2025-06-04 16:00:00,68.32,69.47,68.31,68.49,433728
2025-06-05 16:00:00,68.85,69.46,68.43,69.03,262387
2025-06-06 16:00:00,69.21,69.5,67.24,67.65,464174
2025-06-09 16:00:00,68.45,69.28,67.78,67.88,473496
2025-06-10 16:00:00,68.33,69.85,67.48,69.8,415230
2025-06-11 16:00:00,69.91,70.21,68.38,68.48,317958
2025-06-12 16:00:00,67.9,68.58,67.45,67.61,221056
2025-06-13 16:00:00,66.78,67.48,65,65.2,386186
2025-06-16 16:00:00,66.39,68.15,66.01,67.44,463771
2025-06-17 16:00:00,66.84,67.45,66.13,66.56,203270
2025-06-18 16:00:00,66.8,67.74,66.02,66.17,231880
2025-06-19 16:00:00,66.07,66.5,65.21,66.24,61795
2025-06-20 16:00:00,67,67,65.6,66.07,887964
2025-06-23 16:00:00,66.37,68.97,66.35,67.4,354272
2025-06-24 16:00:00,67.95,68.94,66.84,68.87,340730
2025-06-25 16:00:00,68.75,68.8,67.81,68.27,164822
2025-06-26 16:00:00,68.24,69.41,67.87,69.21,319170
2025-06-27 16:00:00,69.4,71,68.63,69.39,270858
2025-06-30 16:00:00,69.82,71.29,69.64,70.55,250655
2025-07-02 16:00:00,69.76,74.34,69.08,73.95,1122749
2025-07-03 16:00:00,73.64,74.84,73.21,73.84,405838
2025-07-04 16:00:00,73.28,75,73.24,74.02,168331
2025-07-07 16:00:00,74.21,75.72,73.66,74.15,518468
2025-07-08 16:00:00,74.84,75.25,72.94,74.06,836884
2025-07-09 16:00:00,74.71,75.48,73.51,74.58,479024
2025-07-10 16:00:00,74.58,75.48,72.6,74.05,555881
2025-07-11 16:00:00,77,78.88,73.45,75.14,1143422
2025-07-14 16:00:00,74.82,74.82,71.11,73.08,789549
2025-07-15 16:00:00,73.33,73.55,71.31,72.13,524146
2025-07-16 16:00:00,72.17,72.78,71.48,72.77,392477
2025-07-17 16:00:00,72.58,74.66,72.58,73.98,404881
