Date,Open,High,Low,Close,Volume
2025-01-02 16:00:00,1.63,1.66,1.57,1.59,37323926
2025-01-03 16:00:00,1.59,1.68,1.57,1.65,37417560
2025-01-06 16:00:00,1.72,1.83,1.7,1.72,48506851
2025-01-07 16:00:00,1.72,1.73,1.59,1.61,40406873
2025-01-08 16:00:00,1.57,1.58,1.52,1.53,42062069
2025-01-10 16:00:00,1.49,1.5,1.42,1.47,51925318
2025-01-13 16:00:00,1.42,1.43,1.33,1.38,69461706
2025-01-14 16:00:00,1.42,1.44,1.36,1.37,42834724
2025-01-15 16:00:00,1.46,1.6,1.43,1.51,53634678
2025-01-16 16:00:00,1.51,1.59,1.46,1.54,50877707
2025-01-17 16:00:00,1.61,1.62,1.42,1.44,41416378
2025-01-21 16:00:00,1.47,1.48,1.38,1.4,41450719
2025-01-22 16:00:00,1.41,1.43,1.35,1.4,28664783
2025-01-23 16:00:00,1.39,1.44,1.35,1.43,31339767
2025-01-24 16:00:00,1.44,1.46,1.38,1.4,26165766
2025-01-27 16:00:00,1.37,1.45,1.35,1.38,44354096
2025-01-28 16:00:00,1.38,1.55,1.35,1.5,54215706
2025-01-29 16:00:00,1.48,1.52,1.42,1.46,34582635
2025-01-30 16:00:00,1.49,1.53,1.41,1.43,20515605
2025-01-31 16:00:00,1.42,1.46,1.35,1.38,29007640
2025-02-03 16:00:00,1.32,1.35,1.28,1.32,41608465
2025-02-04 16:00:00,1.32,1.36,1.3,1.32,22463550
2025-02-05 16:00:00,1.33,1.41,1.33,1.38,35670451
2025-02-06 16:00:00,1.4,1.43,1.36,1.39,28944417
2025-02-07 16:00:00,1.38,1.41,1.31,1.34,33168673
2025-02-10 16:00:00,1.35,1.39,1.34,1.37,24188596
2025-02-11 16:00:00,1.35,1.49,1.35,1.38,61626992
2025-02-12 16:00:00,1.31,1.5,1.31,1.47,50473220
2025-02-13 16:00:00,1.47,1.52,1.43,1.5,36885194
2025-02-14 16:00:00,1.53,1.58,1.46,1.55,40292810
2025-02-18 16:00:00,1.55,1.6,1.51,1.58,40448647
2025-02-19 16:00:00,1.57,1.63,1.52,1.54,47102557
2025-02-20 16:00:00,1.54,1.55,1.44,1.48,37323822
2025-02-21 16:00:00,1.49,1.5,1.36,1.39,51968483
2025-02-24 16:00:00,1.39,1.45,1.32,1.41,47483564
2025-02-25 16:00:00,1.4,1.5,1.37,1.49,53258332
2025-02-26 16:00:00,1.5,1.59,1.45,1.54,60611912
2025-02-27 16:00:00,1.55,1.59,1.42,1.43,81547885
2025-02-28 16:00:00,1.34,1.36,1.28,1.34,57541676
2025-03-03 16:00:00,1.35,1.35,1.18,1.21,42013624
2025-03-04 16:00:00,1.15,1.29,1.12,1.24,49429284
2025-03-05 16:00:00,1.25,1.25,1.19,1.23,51907916
2025-03-06 16:00:00,1.19,1.23,1.15,1.18,43459573
2025-03-07 16:00:00,1.15,1.23,1.14,1.2,48077921
2025-03-10 16:00:00,1.2,1.3,1.17,1.2,67219227
2025-03-11 16:00:00,1.17,1.19,1.07,1.11,58929262
2025-03-12 16:00:00,1.15,1.24,1.12,1.21,38283605
2025-03-13 16:00:00,1.19,1.21,1.08,1.11,54985039
2025-03-14 16:00:00,1.12,1.16,1.1,1.14,22818027
2025-03-17 16:00:00,1.13,1.23,1.09,1.19,34697707
2025-03-18 16:00:00,1.16,1.16,1.12,1.15,31377656
2025-03-19 16:00:00,1.14,1.24,1.13,1.19,51037271
2025-03-20 16:00:00,1.18,1.27,1.17,1.19,61017574
2025-03-21 16:00:00,1.17,1.22,1.15,1.2,34594538
2025-03-24 16:00:00,1.22,1.25,1.2,1.23,30598803
2025-03-25 16:00:00,1.24,1.25,1.2,1.2,23947637
2025-03-26 16:00:00,1.21,1.23,1.16,1.2,41635139
2025-03-27 16:00:00,1.18,1.22,1.16,1.17,26506715
2025-03-28 16:00:00,1.16,1.17,1.12,1.13,28751085
2025-03-31 16:00:00,1.09,1.11,1.01,1.02,56629660
2025-04-01 16:00:00,1.01,1.06,0.96,1,37348938
2025-04-02 16:00:00,0.97,1.06,0.97,1.01,57445232
2025-04-03 16:00:00,0.95,1.03,0.95,0.96,45101101
2025-04-04 16:00:00,0.93,1,0.85,0.99,64104234
2025-04-07 16:00:00,0.88,1.1,0.87,1.03,33612518
2025-04-08 16:00:00,1.07,1.08,0.94,0.97,35258310
2025-04-09 16:00:00,0.96,1.1,0.92,1.09,40596455
2025-04-10 16:00:00,1.05,1.06,0.95,0.99,59176259
2025-04-11 16:00:00,0.98,1.03,0.92,1.02,55585697
2025-04-14 16:00:00,1.03,1.04,0.95,0.95,24579322
2025-04-15 16:00:00,0.94,0.98,0.91,0.92,22519168
2025-04-16 16:00:00,0.91,0.97,0.9,0.93,14178588
2025-04-17 16:00:00,0.92,0.97,0.92,0.95,19497541
2025-04-21 16:00:00,0.94,0.95,0.92,0.93,44293311
2025-04-22 16:00:00,0.95,1,0.92,0.99,68023262
2025-04-23 16:00:00,1.03,1.07,0.82,0.84,138576780
2025-04-24 16:00:00,0.86,0.87,0.73,0.78,157958821
2025-04-25 16:00:00,0.77,0.78,0.72,0.76,127606987
2025-04-28 16:00:00,0.77,0.84,0.75,0.78,67293847
2025-04-29 16:00:00,0.77,0.81,0.76,0.77,30804550
2025-04-30 16:00:00,0.75,0.76,0.72,0.76,24902041
2025-05-01 16:00:00,0.76,0.79,0.74,0.75,30817001
2025-05-02 16:00:00,0.75,0.77,0.72,0.74,42704319
2025-05-05 16:00:00,0.73,0.76,0.72,0.74,46923016
2025-05-06 16:00:00,0.74,0.77,0.7,0.7,39498169
2025-05-07 16:00:00,0.8,0.92,0.77,0.87,91466095
2025-05-08 16:00:00,0.9,0.91,0.87,0.87,32728432
2025-05-09 16:00:00,0.7,0.75,0.65,0.67,171821317
2025-05-12 16:00:00,0.7,0.73,0.67,0.71,108559504
2025-05-13 16:00:00,0.71,0.74,0.7,0.71,64912376
2025-05-14 16:00:00,0.72,0.78,0.72,0.75,70334494
2025-05-15 16:00:00,0.75,0.75,0.68,0.73,62844526
2025-05-16 16:00:00,0.73,0.79,0.72,0.78,71080077
2025-05-19 16:00:00,0.75,0.79,0.72,0.79,89089782
2025-05-20 16:00:00,0.8,0.8,0.73,0.74,118510871
2025-05-21 16:00:00,0.73,0.74,0.68,0.69,87903317
2025-05-22 16:00:00,0.73,0.74,0.68,0.69,338319
2025-05-23 16:00:00,0.67,0.69,0.66,0.68,94123895
2025-05-27 16:00:00,0.7,0.71,0.67,0.69,104558185
2025-05-28 16:00:00,0.69,0.7,0.67,0.68,61097627
2025-05-29 16:00:00,0.68,0.71,0.68,0.69,81115221
2025-05-30 16:00:00,0.68,0.68,0.65,0.65,69031481
2025-06-02 16:00:00,0.65,0.65,0.59,0.6,94312907
2025-06-03 16:00:00,0.59,0.6,0.57,0.59,73145339
2025-06-04 16:00:00,0.59,0.64,0.59,0.63,95430300
2025-06-05 16:00:00,0.61,0.73,0.61,0.66,108629398
2025-06-06 16:00:00,0.66,0.69,0.66,0.68,61306265
2025-06-09 16:00:00,0.61,0.66,0.56,0.57,115403451
2025-06-10 16:00:00,0.59,0.61,0.59,0.6,85682073
2025-06-11 16:00:00,0.62,0.66,0.6,0.61,72622298
2025-06-12 16:00:00,0.6,0.61,0.6,0.6,53286451
2025-06-13 16:00:00,0.58,0.59,0.56,0.57,68816265
2025-06-16 16:00:00,0.58,0.58,0.55,0.56,81096393
2025-06-17 16:00:00,0.55,0.57,0.54,0.57,84561692
2025-06-18 16:00:00,0.56,0.6,0.56,0.58,92450216
2025-06-20 16:00:00,0.58,0.59,0.53,0.53,79106327
2025-06-23 16:00:00,0.53,0.55,0.51,0.53,66847858
2025-06-24 16:00:00,0.54,0.57,0.53,0.55,79527130
2025-06-25 16:00:00,0.54,0.55,0.51,0.51,76129719
2025-06-26 16:00:00,0.52,0.54,0.51,0.54,74258398
2025-06-27 16:00:00,0.54,0.59,0.54,0.56,182521980
2025-06-30 16:00:00,0.59,0.59,0.53,0.53,96145084
2025-07-01 16:00:00,0.54,0.6,0.53,0.56,108898336
2025-07-02 16:00:00,0.56,0.58,0.54,0.57,61181010
2025-07-03 13:05:00,0.57,0.62,0.57,0.61,51348044
2025-07-07 16:00:00,0.61,0.63,0.57,0.63,140282794
2025-07-08 16:00:00,0.65,0.77,0.64,0.73,123450433
2025-07-09 16:00:00,0.78,0.8,0.71,0.74,67432489
2025-07-10 16:00:00,0.75,0.89,0.74,0.88,111548543
2025-07-11 16:00:00,0.9,0.9,0.73,0.78,182157175
2025-07-14 16:00:00,0.78,0.92,0.77,0.9,159321511
2025-07-15 16:00:00,1.03,1.11,0.95,1.04,142113237
2025-07-16 16:00:00,1.2,1.49,1.13,1.49,303744892
2025-07-17 16:00:00,1.91,2.02,1.54,1.65,550968837
2025-07-18 16:00:00,1.85,2.31,1.76,2.25,589707400
2025-07-21 16:00:00,2.78,4.97,2.62,3.21,821507734
2025-07-22 16:00:00,3.89,3.99,2.67,2.88,6135018
2025-07-23 16:00:00,2.54,2.59,2.05,2.29,529056037
2025-07-24 16:00:00,2.47,2.91,2.36,2.42,462421171
2025-07-25 16:00:00,2.55,2.57,2.26,2.54,233884259
2025-07-28 16:00:00,2.65,2.75,2.28,2.34,224423181
2025-07-29 16:00:00,2.25,2.29,1.88,2.05,237107729
2025-07-30 16:00:00,2.04,2.25,2,2.07,126824329
2025-07-31 16:00:00,2.1,2.1,1.82,1.84,112502621
2025-08-01 16:00:00,1.96,2.2,1.87,2.1,192079965
2025-08-04 16:00:00,2.28,2.57,2.14,2.46,274039043
2025-08-05 16:00:00,2.44,2.58,2.31,2.52,235170785
2025-08-06 16:00:00,1.89,2.24,1.85,1.9,211302515
2025-08-07 16:00:00,1.93,1.93,1.7,1.85,140864831
2025-08-08 16:00:00,1.81,2.02,1.77,1.95,90136509
2025-08-11 16:00:00,1.93,2.36,1.92,2.31,146942364
2025-08-12 16:00:00,2.39,2.67,2.22,2.47,213320242
2025-08-13 16:00:00,2.49,2.6,2.35,2.42,101937561
2025-08-14 16:00:00,2.29,3.06,2.26,3.04,322386136
2025-08-15 16:00:00,3.41,3.53,3.1,3.17,419367017
2025-08-18 16:00:00,3.29,3.95,3.29,3.78,414536076
2025-08-19 16:00:00,4.03,4.1,3.52,3.62,340157342
2025-08-20 16:00:00,3.39,3.63,3.06,3.22,245034852
2025-08-21 16:00:00,3.21,3.71,3.13,3.6,205099352
2025-08-22 16:00:00,3.58,5.08,3.44,5.01,657093063
2025-08-25 16:00:00,4.95,5.87,4.53,4.54,764560875
2025-08-26 16:00:00,4.56,5.28,4.37,4.7,486594938
2025-08-27 16:00:00,4.91,4.97,3.96,4.02,300736111
2025-08-28 16:00:00,4.27,4.5,4.08,4.27,227292245
2025-08-29 16:00:00,4.52,4.93,4.21,4.45,320288285
2025-09-02 16:00:00,4.22,5.19,4.11,5.09,412462921
2025-09-03 16:00:00,5.22,5.4,4.92,5.13,301188661
2025-09-04 16:00:00,5.13,6.07,5.04,5.96,466913019
2025-09-05 16:00:00,6.41,6.85,5.9,6.65,570359097
2025-09-08 16:00:00,7,7.32,5.98,6.04,486224218
2025-09-09 16:00:00,6.03,6.4,5.9,6.11,239875920
2025-09-10 16:00:00,6.38,6.43,5.57,5.86,373272067
2025-09-11 16:00:00,7.61,10.7,7.42,10.52,1051328931
2025-09-12 16:00:00,9.79,10.38,8.76,9.07,472207805
2025-09-15 16:00:00,9.76,10.5,9.3,9.49,329125852
2025-09-16 16:00:00,9.8,9.82,8.81,8.92,255182958
2025-09-17 16:00:00,9.01,10.87,8.77,10.21,701204587
2025-09-18 16:00:00,10.15,10.49,9.79,9.94,263957338
2025-09-19 16:00:00,10.04,10.28,9.35,9.57,229829743
2025-09-22 16:00:00,9.17,9.45,8.32,8.38,279327621
2025-09-23 16:00:00,7.96,8.1,6.91,7.09,305702245
2025-09-24 16:00:00,7.6,8.48,7.31,8.23,326244212
2025-09-25 16:00:00,8.24,9.21,7.87,9.09,371178762
2025-09-26 16:00:00,8.8,8.98,8.37,8.81,168064282
2025-09-29 16:00:00,8.68,8.82,8.08,8.2,155718924
2025-09-30 16:00:00,8.01,8.41,7.77,7.97,169281682
2025-10-01 16:00:00,8.1,8.8,7.86,8.06,178502351
2025-10-02 16:00:00,8.12,8.33,7.83,8.01,148516178
2025-10-03 16:00:00,8,8.83,7.92,8.11,240458581
2025-10-06 16:00:00,8.31,9.69,8.05,9.28,287530033
2025-10-07 16:00:00,9.26,9.47,8.41,9.29,197774298
2025-10-08 16:00:00,9.26,9.6,8.36,8.49,205238134
2025-10-09 16:00:00,8.64,8.7,8.12,8.14,93062851
2025-10-10 16:00:00,8.22,8.22,7.45,7.57,158753436
2025-10-13 16:00:00,7.79,7.79,7.23,7.27,115687795
2025-10-14 16:00:00,7.02,7.89,6.97,7.64,115835746
2025-10-15 16:00:00,7.67,7.84,7.32,7.38,110162772
2025-10-16 16:00:00,7.34,7.51,7.05,7.11,78517417
2025-10-17 16:00:00,6.96,7.25,6.79,7.16,75995624
2025-10-20 16:00:00,7.19,7.56,7.15,7.37,64213105
2025-10-21 16:00:00,7.24,7.53,6.93,6.96,66492145
2025-10-22 16:00:00,6.74,6.92,6.23,6.82,113344977
2025-10-23 16:00:00,6.9,7.29,6.85,7.03,65278516
2025-10-24 16:00:00,7.32,8.39,7.23,7.97,207911586
2025-10-27 16:00:00,8.15,8.48,7.85,8.16,110878331
2025-10-28 16:00:00,8.16,8.55,7.92,7.97,100846832
2025-10-29 16:00:00,8,8.25,7.5,7.65,96269462
2025-10-30 16:00:00,7.49,7.61,7.11,7.34,104705009
2025-10-31 16:00:00,7.42,8.02,7.36,7.77,120826257
2025-11-03 16:00:00,7.68,7.76,7.39,7.59,87795922
2025-11-04 16:00:00,7.25,7.38,6.86,6.92,94284510
2025-11-05 16:00:00,7.14,7.52,6.98,7.23,74659540
2025-11-06 16:00:00,7.36,7.37,6.52,6.56,126284589
2025-11-07 16:00:00,5.33,6.59,5.24,6.56,214509192
2025-11-10 16:00:00,6.84,8.12,6.69,7.97,222055805
2025-11-11 16:00:00,7.96,8.62,7.78,8.48,225698670
2025-11-12 16:00:00,8.49,9.46,8.22,9.37,250463439
2025-11-13 16:00:00,8.97,9.29,8.45,8.56,206455856
2025-11-14 16:00:00,8.08,8.96,7.85,8.12,184137397
2025-11-17 16:00:00,8.05,8.14,7.49,7.84,155471095
2025-11-18 16:00:00,7.45,7.75,7.02,7.52,124123424
2025-11-19 16:00:00,7.37,7.42,6.55,6.69,126425574
2025-11-20 16:00:00,6.96,6.97,6.14,6.16,111705407
2025-11-21 16:00:00,6.23,7.03,6.23,6.75,160493831
2025-11-24 16:00:00,6.75,8.08,6.74,7.69,156567895
