Date,Open,High,Low,Close,Volume
2025-01-02 16:00:00,120.38,120.91,119.05,119.68,966964
2025-01-03 16:00:00,119.9,120.52,119.03,120.43,481731
2025-01-06 16:00:00,121.76,122.2,120.71,121.56,670806
2025-01-07 16:00:00,122.3,123.17,121.29,121.33,938914
2025-01-08 16:00:00,120.92,121.86,120.32,121.67,663122
2025-01-10 16:00:00,120.85,121.04,118.04,118.42,731188
2025-01-13 16:00:00,118.04,118.94,117.8,118.77,1761707
2025-01-14 16:00:00,118.94,118.96,117.63,118.63,2009785
2025-01-15 16:00:00,120,120.15,119.09,119.78,2063455
2025-01-16 16:00:00,119.77,120.17,119.01,120.08,908470
2025-01-17 16:00:00,120.36,120.74,120.02,120.54,1588795
2025-01-21 16:00:00,120.53,122.47,120.41,122.24,1340012
2025-01-22 16:00:00,122.56,122.56,120.64,121.02,1069091
2025-01-23 16:00:00,121.42,122.5,121.42,122.08,2672627
2025-01-24 16:00:00,122.52,122.85,122.12,122.61,2616316
2025-01-27 16:00:00,120.84,122.74,120.81,122.62,2188049
2025-01-28 16:00:00,122.21,123.45,122.11,123.11,986583
2025-01-29 16:00:00,122.63,123,121.71,122.04,761884
2025-01-30 16:00:00,122.65,124.35,122.33,123.4,764915
2025-01-31 16:00:00,123.24,123.9,121.89,121.93,871817
2025-02-03 16:00:00,117.4,120.17,116.51,118.81,1663558
2025-02-04 16:00:00,120.96,121.43,118.29,118.69,925737
2025-02-05 16:00:00,119.2,119.46,118,119.07,696998
2025-02-06 16:00:00,119.23,119.73,118.78,119.44,646904
2025-02-07 16:00:00,119.66,119.75,118.5,119.32,1270809
2025-02-10 16:00:00,119.1,119.64,117.91,117.99,1155513
2025-02-11 16:00:00,117.76,118.69,117.02,118.44,544524
2025-02-12 16:00:00,117.57,118.48,117.21,118.37,436511
2025-02-13 16:00:00,118.45,119.46,118.1,119.31,1396212
2025-02-14 16:00:00,119.79,120.09,118.91,119.04,1492766
2025-02-18 16:00:00,118.81,121,118.77,120.89,2186300
2025-02-19 16:00:00,120.24,120.57,119.16,120.55,1468215
2025-02-20 16:00:00,120.55,121.03,119.09,119.66,663483
2025-02-21 16:00:00,119.79,119.92,118.76,118.88,2169988
2025-02-24 16:00:00,119.39,119.69,118.37,118.57,1086233
2025-02-25 16:00:00,120,120.89,118.74,119.29,1364439
2025-02-26 16:00:00,119.38,119.96,118.65,119.48,1161143
2025-02-27 16:00:00,119.2,119.96,113.73,115.21,2238225
2025-02-28 16:00:00,115.82,118.25,115.22,118.17,1123768
2025-03-03 16:00:00,118,119.46,115.84,116.85,1320026
2025-03-04 16:00:00,115.42,115.58,112.18,112.59,1304584
2025-03-05 16:00:00,113.57,115.93,113.21,115.13,2041064
2025-03-06 16:00:00,114.56,116.37,113.87,114.24,920080
2025-03-07 16:00:00,113.61,115.44,113.32,115.07,789374
2025-03-10 16:00:00,113.21,114.25,112.14,112.99,665169
2025-03-11 16:00:00,112.53,113.03,110.13,110.33,1371612
2025-03-12 16:00:00,111.04,111.62,110.38,111.28,1005264
2025-03-13 16:00:00,110.95,111.17,108.76,108.81,2254518
2025-03-14 16:00:00,109.75,111.67,109.57,111.49,1446339
2025-03-17 16:00:00,111.63,113.19,111.22,112.72,1283518
2025-03-18 16:00:00,113.04,113.07,111.77,112.48,692436
2025-03-19 16:00:00,112.61,114.43,112.25,114.22,990806
2025-03-20 16:00:00,113.25,114.18,112.46,113.81,613089
2025-03-21 16:00:00,112.69,114.01,112.68,113.6,758358
2025-03-24 16:00:00,114.25,116.27,114.2,115.91,739053
2025-03-25 16:00:00,117.09,117.33,116.09,116.65,704207
2025-03-26 16:00:00,117.03,117.69,115.82,116.27,748248
2025-03-27 16:00:00,115.91,116.65,114.3,114.71,708559
2025-03-28 16:00:00,114.6,114.86,111.98,112.14,843279
2025-03-31 16:00:00,111.3,113.21,111.03,112.72,840031
2025-04-01 16:00:00,112.23,113.71,110.73,113.65,828609
2025-04-02 16:00:00,113.08,114.72,112.39,114.72,856745
2025-04-03 16:00:00,113.76,117.8,113.7,115.11,1831291
2025-04-04 16:00:00,112.51,113.73,110.04,110.91,2439436
2025-04-07 16:00:00,106.21,112.11,106.1,109.17,2057431
2025-04-08 16:00:00,111.97,112.33,107.72,108.36,4374015
