Date,Open,High,Low,Close,Volume
2025-01-02 16:00:00,508.25,512.11,503.29,504.51,4237395
2025-01-03 16:00:00,506.35,516.29,505.38,513,3020428
2025-01-06 16:00:00,513,520.3,509.82,513.67,4444836
2025-01-07 16:00:00,518.85,519.5,511.22,514.25,3914545
2025-01-08 16:00:00,514.5,524.67,509.51,524.52,4141728
2025-01-10 16:00:00,526.64,535.45,518.47,520.69,5467532
2025-01-13 16:00:00,535.04,547.4,533.14,541.14,6472465
2025-01-14 16:00:00,539.65,544.55,536.55,543.74,3978259
2025-01-15 16:00:00,537.1,546.29,534.33,543.42,4103865
2025-01-16 16:00:00,530.35,539.84,510,510.59,9059887
2025-01-17 16:00:00,505.62,521.82,502.8,509.76,7495719
2025-01-21 16:00:00,513.7,525,512.82,524.99,5682082
2025-01-22 16:00:00,521.66,524.44,516,519.72,3756139
2025-01-23 16:00:00,527.87,531.48,519.32,529.77,4580802
2025-01-24 16:00:00,528.11,534.63,524.51,532.51,3671163
2025-01-27 16:00:00,539.98,551.91,539.98,543.52,4262959
2025-01-28 16:00:00,543.01,546.5,537.84,542.48,3162659
2025-01-29 16:00:00,541.73,543.48,534.01,538.1,2737638
2025-01-30 16:00:00,539.47,547.11,535,545.57,2924741
2025-01-31 16:00:00,543.24,549.16,541.41,542.49,4120661
2025-02-03 16:00:00,542,553.91,541.07,548.18,4083572
2025-02-04 16:00:00,545.2,548.81,541.51,545.45,2869935
2025-02-05 16:00:00,530.73,540.7,521.91,539.81,4621558
2025-02-06 16:00:00,537.89,539.1,525.27,530.04,3926829
2025-02-07 16:00:00,529.2,532.39,525.39,527.03,3349299
2025-02-10 16:00:00,527.67,534.16,523.38,533.37,3143143
2025-02-11 16:00:00,535,547.54,528.27,533.92,2632107
2025-02-12 16:00:00,539.85,542.35,525.51,527.4,3859241
2025-02-13 16:00:00,530.9,534.33,527.1,531.18,2835051
2025-02-14 16:00:00,529,533.2,522.91,523.51,3705326
2025-02-18 16:00:00,510.94,516,497,500.73,8759280
2025-02-19 16:00:00,501.33,511.86,498.15,511.04,4380314
2025-02-20 16:00:00,505.19,508.43,500.24,502.42,4144301
2025-02-21 16:00:00,439.55,469.7,438.5,466.42,19864874
2025-02-24 16:00:00,466.68,468,457,461.52,6919337
2025-02-25 16:00:00,460.77,470.76,450.07,470.38,9100970
2025-02-26 16:00:00,464.65,473.05,458.2,463.59,5108381
2025-02-27 16:00:00,466.17,475.4,465.02,468.56,4216771
2025-02-28 16:00:00,467,476.36,464.48,474.96,6146326
2025-03-03 16:00:00,474.37,477.27,465.21,467.05,5700194
2025-03-04 16:00:00,469.75,479.21,466.46,474.61,5864135
2025-03-05 16:00:00,471.07,479.08,471.01,475.98,3637102
2025-03-06 16:00:00,476,488.12,472,487.72,4963988
2025-03-07 16:00:00,483.83,499.92,483.37,493.48,5434096
2025-03-10 16:00:00,492,497.85,477.71,480.22,5108930
2025-03-11 16:00:00,482.5,486.77,477.14,486.04,4101015
2025-03-12 16:00:00,483.14,487.6,478.82,481.11,3681016
2025-03-13 16:00:00,479.45,484.06,475,481.52,2877044
2025-03-14 16:00:00,481,489.45,478.24,488.65,3915911
2025-03-17 16:00:00,487.51,500.61,485.95,499.02,5152316
2025-03-18 16:00:00,502.24,505.97,497.82,503.8,3617629
2025-03-19 16:00:00,505.04,506.35,500.06,503.2,3317606
2025-03-20 16:00:00,505.25,514.39,503.51,511.3,4965390
2025-03-21 16:00:00,511.68,519,505.09,516.85,10244942
2025-03-24 16:00:00,515.08,518.25,511.12,516.5,3841080
2025-03-25 16:00:00,518.28,519,511.53,513.43,3015143
2025-03-26 16:00:00,515.2,522.95,512.85,518.2,3255026
2025-03-27 16:00:00,516.29,521.08,512.95,515.72,2822160
2025-03-28 16:00:00,516.87,520.98,515.05,516.04,2379100
2025-03-31 16:00:00,519.03,528.12,518.59,523.75,5238670
2025-04-01 16:00:00,525.74,528.17,520.95,523.12,2962708
2025-04-02 16:00:00,522.95,525,516.8,523.2,2378909
2025-04-03 16:00:00,529.99,548.5,529.29,540.44,6457925
2025-04-04 16:00:00,540.64,551.74,524.84,525.05,9918989
2025-04-07 16:00:00,513.4,529.2,503.59,524.7,7356702
2025-04-08 16:00:00,582.17,585.01,547.46,553.08,11762283
2025-04-09 16:00:00,560.14,589.4,554.46,578.5,12691858
2025-04-10 16:00:00,580.24,601.88,580,594.4,8645986
2025-04-11 16:00:00,588.92,606.36,586.53,599.47,6121458
2025-04-14 16:00:00,595,595.63,579.29,587.06,4839273
2025-04-15 16:00:00,592.24,592.86,582.01,583.59,3871279
2025-04-16 16:00:00,585.32,594.81,582.96,585.04,4192093
2025-04-17 16:00:00,481.95,489.79,447.1,454.11,29120168
2025-04-21 16:00:00,449.76,453.5,424.81,425.33,13029860
2025-04-22 16:00:00,424.64,431.5,417.12,427.18,10156865
2025-04-23 16:00:00,427.07,438.85,423.75,427.96,8345659
2025-04-24 16:00:00,427.57,429.9,423.65,424.25,7629125
2025-04-25 16:00:00,423.56,423.56,412.02,418.64,9263777
2025-04-28 16:00:00,419.75,424.12,415.55,420,6614294
2025-04-29 16:00:00,421.19,421.75,409.1,409.23,9909076
2025-04-30 16:00:00,409.03,413.26,401,411.44,9192825
2025-05-01 16:00:00,411.32,411.99,399.86,400.68,9316805
2025-05-02 16:00:00,399.96,402,393.11,399.92,11392906
2025-05-05 16:00:00,399.12,409.7,397.59,404.81,8157196
2025-05-06 16:00:00,402.8,404.72,393.42,394.51,7858592
2025-05-07 16:00:00,395.35,395.52,385.7,391.06,8521310
2025-05-08 16:00:00,390,390.92,385.37,385.55,7218320
2025-05-09 16:00:00,385.67,386.55,378.54,380.64,8381054
2025-05-12 16:00:00,381,387.21,376.84,378.75,11004799
2025-05-13 16:00:00,335.74,342,309.1,311.38,59478308
2025-05-14 16:00:00,321.45,322.94,307.11,308.01,40029552
2025-05-15 16:00:00,274.9,276.65,248.88,274.35,121849184
2025-05-16 16:00:00,279.29,294.49,269.14,291.91,71094348
2025-05-19 16:00:00,304.77,316.29,297.25,315.89,62524663
2025-05-20 16:00:00,320.92,324.64,312.58,321.58,41486981
2025-05-21 16:00:00,301,309.96,300.07,302.98,45506882
2025-05-22 16:00:00,293.89,305.67,292.5,296.67,27159648
2025-05-23 16:00:00,296.1,299.7,291.64,295.57,16873644
2025-05-27 16:00:00,299.5,299.95,289.13,295,20144557
2025-05-28 16:00:00,294,303.78,293.28,298.11,16114190
2025-05-29 16:00:00,296.8,303.38,295,298.17,16262496
2025-05-30 16:00:00,297.97,305.64,295.84,301.91,16309280
2025-06-02 16:00:00,303.12,313.55,300.97,304.72,19074368
2025-06-03 16:00:00,303.1,305.72,300.01,301.22,12805723
2025-06-04 16:00:00,303.54,307.64,300.2,300.38,11255616
2025-06-05 16:00:00,300.38,302.42,294.11,295.84,13627792
2025-06-06 16:00:00,297.23,304.39,297.15,303.22,12588977
2025-06-09 16:00:00,305.04,307.4,301.14,303.19,12170320
2025-06-10 16:00:00,303.8,305.12,300.59,303.79,11384053
2025-06-11 16:00:00,302.68,311.58,302.23,310.56,14711373
2025-06-12 16:00:00,311.4,318.8,308.51,318.5,15957166
2025-06-13 16:00:00,315.9,317.42,311.91,313.53,13762432
2025-06-16 16:00:00,313,313.27,304.79,307.66,14240076
2025-06-17 16:00:00,307.45,309.95,305.52,308.87,11593898
2025-06-18 16:00:00,307.55,311.79,306.23,307.2,12205634
2025-06-20 16:00:00,309.5,309.59,301.59,302.01,16177856
2025-06-23 16:00:00,301.9,302.47,295.52,300.68,12274663
2025-06-24 16:00:00,301.45,305.82,299.33,305.62,8781398
2025-06-25 16:00:00,304.38,304.38,299.8,302.02,8722083
